message_ok;count
licencia conducir renovacion;101
inscripcion secundaria;101
estacionar aqui;101
sabado;101
sacar turno videollamada;101
empadronar;101
denunciar auto abandonado;100
infracciones vehiculo;100
estan;100
extravio dni;100
seguridad;100
denuncia transito;100
bue;100
turno casamiento;100
turno vacuna covid;100
codigo;100
centro diagnostico;100
rendir subsidio habitacional;100
policia;99
multaa;99
curso ingles;99
consulta ciudadania portena;99
ayudar sacar turno resolver multas videollamada controlador transito;99
otorgar licencia;99
tramite licencia;99
certificacion domicilio;99
personas situacion calle;99
estacionamientos;99
movilidad;99
anda;99
sacar turno persona;98
turno controlador multas;98
consultar infraccion;98
renovacion cambio jurisdiccion;98
moratoria;98
boletas abl;98
factura abl;98
hablar persona real;98
atencion personalizada;98
boleta cenat;98
busco empleo;98
hlla;98
retiro voluminosos;98
entradas colon;98
viewchat;98
residuos grandes;98
arbolado;98
castrar gato;97
horario atencion;97
pagar tramite;97
ruidos;97
imprimir multa;97
residencias medicas;97
sacar turno traumatologia;97
licencia retenida;97
carnet;97
dos;97
subte cud;97
boletin escolar;97
siii;97
digito verificador;97
pase jubilados;97
nacimiento;97
tramite ciudadania portena;97
turno renovacion dni;97
volver atras;97
video llamada controlador;97
domingo;96
certificado residencia;96
neurologia infantil;96
verguenza;96
rendir subsidio habitacional 690;96
confirmar turno salud;96
cambiar datos;96
hablar persona humana;96
chatear humano;96
turno hospital rivadavia;95
gustaria cancelar cita programada;95
inutiles;95
educacion vial;95
beca cuidad;95
sacar turno resolver multas;95
ubicacion;95
calle;95
estacione bien;94
cud sube;94
catastro;94
cancelar tramite;94
saque turno;94
arca;94
desconocer multa;94
seguimiento;94
radiografia;94
audiencia infracciones;93
perdon equivoque;93
extraccion arbol;93
cud subte;93
denuncia defensa consumidor;93
blanqueo clave miba;93
operador humano;93
cedtac;93
pagar peaje;92
turnos cesac;92
banco ciudad;92
sacar turno tomografia;92
ver tramites;92
atencion cliente;92
subte gratis;92
pago voluntario multa;92
2026;92
rendir;92
confirme turno;92
deja pagar;92
turno endocrinologo;92
reclamo infraccion;92
sellos;92
cgp;92
noooo;92
actas;92
consultar turno medico;91
sacar turno hospital santa lucia;91
heladera;91
comprobante vencido;91
noo;91
turno renovacion;91
pagarlas;91
jardin maternal;91
