Name;Topic path;Topic
SUA01CUX02 Solicitud exitosa;Solicitudes - Suaci [SUACI] / 01. Espacio público / 02. SUA01CUX02 - Residuos Voluminosos; 02. SUA01CUX02 - Residuos Voluminosos
miBA01CUX01 Dato correcto;miBA [MIBA] / 01. Cuenta miBA / 01. MIBA01CUX01 - miBA flujo estático; 01. MIBA01CUX01 - miBA flujo estático
ED00CUX01 Nivel inicial;Educación [EDU] / 00. Estructura completa / 01. ED00CUX01  Superapertura + Bifurcadores; 01. ED00CUX01  Superapertura + Bifurcadores
DH01CUX03 Pedido de datos - Segundo envío;Desarrollo humano [DH] / 01. Atención social / 02. TR02CUX02 - Rendición de Subsidio Habitacional 690; 02. TR02CUX02 - Rendición de Subsidio Habitacional 690
ED02CUX08 Niveles;Educación [EDU] / 02. Cursos y talleres / 08. EDU02CUX08 - Ciudad Bilingue; 08. EDU02CUX08 - Ciudad Bilingue
CU05CUX01 Cómo funcionan;Cultura [CU] / 05. Bibliotecas / 01. CU05CUX01 - Red de Bibliotecas de la Ciudad ; 01. CU05CUX01 - Red de Bibliotecas de la Ciudad 
TR04CUX11 Registro Civil - Cómo es el trámite;Trámites [TR] / 04. Estáticos Varios / 11. TR04CUX11 - Casamientos 💍; 11. TR04CUX11 - Casamientos 💍
DH11CUX05 Responder pregunta V3;Desarrollo humano [DH] / 11. Inclusión financiera / 05. DH11CUX05 Curso Fotoproducto virtual; 05. DH11CUX05 Curso Fotoproducto virtual
TU01CAT01 Espera 15 min;Derivaciones [DER] / Derivación / Derivación a agente de Turismo; Derivación a agente de Turismo
EDU03CUX07 Tomé un cargo ;Educación [EDU] / 03. Docentes / 07. EDU03CUX07 - Inscripción docente; 07. EDU03CUX07 - Inscripción docente
MO06CUX02 Devolver Ecobici;Movilidad [MO] / 06. Bicicletas / 02. MO06CUX02 - Ecobici; 02. MO06CUX02 - Ecobici
TR03CUX12 Hacer una consulta;Trámites [TR] / 03. Match directo / 12. TR03CUX12 - Cementerios; 12. TR03CUX12 - Cementerios
MO05CUX10 Pedido de domicilio del DNI;Movilidad [MO] / 05. Licencias / 10. MO05CUX10 Duplicado de licencia; 10. MO05CUX10 Duplicado de licencia
SUA01CUX25 Confirmar dirección;Solicitudes - Suaci [SUACI] / 01. Espacio público / 25. SUA01CUX25 - Reparación de contenedores; 25. SUA01CUX25 - Reparación de contenedores
Cómo lo hago | Fotocopia de Documentación Archivada;Trámites [TR] / 04. Estáticos Varios / 22. TR04CUX22 - Fotocopia de Documentación Archivada; 22. TR04CUX22 - Fotocopia de Documentación Archivada
DE05CUX01 BA Corre;Deportes [DE] / 5. Clases al aire libre / 01. DE05CUX01 - Clases al aire libre; 01. DE05CUX01 - Clases al aire libre
DEC05CUX01 Local comercial;Desarrollo Económico [DEC] / 05. Empresas / 01. DEC05CUX01 - Boti para empresas, SAP; 01. DEC05CUX01 - Boti para empresas, SAP
DH04CUX05 No es fiscalizador;Desarrollo humano [DH] / 04. Fiscalizadores / 05. DH04CUX05 - Fiscalizadores de Residencias Geriátricas; 05. DH04CUX05 - Fiscalizadores de Residencias Geriátricas
MO03CUX01 Docentes;Movilidad [MO] / 03. Subte y Tren / 01. MO03CUX01 - Subte Estático; 01. MO03CUX01 - Subte Estático
RC01CUX06 Soy extranjero;Registro Civil [RC] / 01. Estáticos / 06. RC01CUX06 - Autorización Viaje al exterior y nacional; 06. RC01CUX06 - Autorización Viaje al exterior y nacional
BOT02CUX05 P1;Boti [BOT] / 02. Cumpleaños / 05. BOT02CUX05 - Botigrama; 05. BOT02CUX05 - Botigrama
GE03CUX02 Quiero capacitarme;Género [GE] / 03. Otros / 02. GE03CUX02 - Autonomía económica; 02. GE03CUX02 - Autonomía económica
SA14CUX01 Mamografía;Salud [SA] / 14. Cáncer de mama / 01. SA14CUX01 - Prevención cáncer de mama; 01. SA14CUX01 - Prevención cáncer de mama
TR03CUX28 Certificado de Residencia Temporaria;Trámites [TR] / 03. Match directo / 28. TR03CUX28 - Nación; 28. TR03CUX28 - Nación
SE02CAT01 Pedido de datos - Nombre;Derivaciones [DER] / Derivación / Deriva a agente de Ciberseguridad; Deriva a agente de Ciberseguridad
CU04CUX01 Cómo llegar;"Cultura [CU] / 04. Festivales y ""Día de -Noche de"" / 01.CU04CUX01 - Feria del libro 2025"; 01.CU04CUX01 - Feria del libro 2025
CU01CUX15 Mr M 2 Atlas pista 1;Cultura [CU] / 01. Museos / 15. CU01CUX15 - MIJU experiencia interactiva; 15. CU01CUX15 - MIJU experiencia interactiva
AM03CUX04 Tips para el frío;Ambiente [AM] / 03. Ambiente / 04. AM03CUX04 - Ambiente; 04. AM03CUX04 - Ambiente
CIU05CUX07 Centro Comunitario;Ciudad [CIU] / 05. Sobre la Ciudad / 07. CIU05CUX07 - Barrio Mugica; 07. CIU05CUX07 - Barrio Mugica
DDHH03CUX01 Chicos perdidos;Derechos Humanos [DDHH] / 03. Niños: Derechos y Defensorías / 01. DDHH03CUX01 - Bifurcador Derechos de Niños_as y Adolescentes; 01. DDHH03CUX01 - Bifurcador Derechos de Niños_as y Adolescentes
SUA01CUX19 Subir foto 3;Solicitudes - Suaci [SUACI] / 01. Espacio público / 19. SUA01CUX19  - Desagote pozo ciego; 19. SUA01CUX19  - Desagote pozo ciego
CIU05CUX08 Otros sitios Caballito;Ciudad [CIU] / 05. Sobre la Ciudad / 08- CIU05CUX08 - Sitios históricos / CIU05CUX08 - Caballito; CIU05CUX08 - Caballito
SE01CUX06 No, corregir;Seguridad [SE] / 01. Servicios (Policia, bomberos...) / 06. SE01CUX06 - Ministerio Público Fiscal; 06. SE01CUX06 - Ministerio Público Fiscal
CU10CUX01 Vida cotidiana (intro 4 - Casa del Virrey Liniers);Cultura [CU] / 10. Casco Histórico / 01. CU10CUX01 - Casco Histórico; 01. CU10CUX01 - Casco Histórico
TUR00CUX02 Turnos para trámites;Turnos [TUR];Turnos [TUR]
SA06CUX02 Doc de cabecera;Salud [SA] / 06. Gestor de encuentros / 01. SA06CUX01 - Mis Profesionales; 01. SA06CUX01 - Mis Profesionales
SUA01CUX18 Apertura;Solicitudes - Suaci [SUACI] / 01. Espacio público / 18. SUA01CUX18 - Retiro de objetos en desuso; 18. SUA01CUX18 - Retiro de objetos en desuso
SUA01CUX05 Autos Abandonados - Dirección vehículo abandonado;Solicitudes - Suaci [SUACI] / 01. Espacio público / 05. SUA01CUX05 - Autos abandonados; 05. SUA01CUX05 - Autos abandonados
CIU07CUX01 Impuestos y trámites;Ciudad [CIU] / 07. Buepp; 07. Buepp
SUA01CUX24 Tipo de login;Solicitudes - Suaci [SUACI] / 01. Espacio público / 24. SUA01CUX24 Residuos fuera del contenedor; 24. SUA01CUX24 Residuos fuera del contenedor
Agentes humanos (Apertura) > Es por otro tema (Response) > Más temas;Derivaciones [DER] / Operador; Operador
DEC05CUX01 Apertura;Desarrollo Económico [DEC] / 05. Empresas / 01. DEC05CUX01 - Boti para empresas, SAP; 01. DEC05CUX01 - Boti para empresas, SAP
TRA04CUX01 Apertura;Trámites [TR] / 02. Integraciones STD / 10. TR02CUX10 - Solicitud de Certificado de Legalidad (EX TRA04CUX01); 10. TR02CUX10 - Solicitud de Certificado de Legalidad (EX TRA04CUX01)
TUR01CUX10 Corregir datos III;Turnos [TUR] / 01. SIGECI / 10. TUR01CUX10 Turno para acta de tránsito; 10. TUR01CUX10 Turno para acta de tránsito
