Name;Topic path;Topic
MO01CUX02 Apertura;Movilidad [MO] / 01. BA Taxi / 02. MO01CUX02 - Tarifas prefijadas aeropuertos; 02. MO01CUX02 - Tarifas prefijadas aeropuertos
SUA01CUX34 Problema del contenedor;Solicitudes - Suaci [SUACI] / 01. Espacio público / 34. SUA01CUX34 Vaciado de contenedor; 34. SUA01CUX34 Vaciado de contenedor
EDU03CUX06 Qué propuestas hay;Educación [EDU] / 03. Docentes / 06. EDU03CUX06 - Escuela de Maestros; 06. EDU03CUX06 - Escuela de Maestros
GE01CAT01 Cómo funciona;Derivaciones [DER] / Derivación / Violencia contra la mujer; Violencia contra la mujer
TUR01CUX06 Confirmación correo;Turnos [TUR] / 01. SIGECI / 06. TUR01CUX06 - Turnera vacunación COVID; 06. TUR01CUX06 - Turnera vacunación COVID
OB05CUX01 Guarda Temporal - 5A;Obras [OBR] / 05. DGROC / 01. OB05CUX01 - Consulta DGROC; 01. OB05CUX01 - Consulta DGROC
SUA01CUX20 Pide número de teléfono;Solicitudes - Suaci [SUACI] / 01. Espacio público / 20. SUA01CUX20 Electricidad y agua; 20. SUA01CUX20 Electricidad y agua
MO05CUX10 Usuario sin CP en miBA;Movilidad [MO] / 05. Licencias / 10. MO05CUX10 Duplicado de licencia; 10. MO05CUX10 Duplicado de licencia
TR01CUX03 Requisitos;Trámites [TR] / 01. TAD / 03. TR01CUX03 - Solicitud de copia de planos de mensura, horizontalidad, prehorizontalidad y catastro; 03. TR01CUX03 - Solicitud de copia de planos de mensura, horizontalidad, prehorizontalidad y catastro
SE01CUX01 Más información ;Seguridad [SE] / 01. Servicios (Policia, bomberos...) / 01. SE01CUX01 - Convocatoria de bomberos; 01. SE01CUX01 - Convocatoria de bomberos
DH01CUX03 Reempadronamiento ;Desarrollo humano [DH] / 01. Atención social / 02. TR02CUX02 - Rendición de Subsidio Habitacional 690; 02. TR02CUX02 - Rendición de Subsidio Habitacional 690
CU01CUX14 Cómo llegar;Cultura [CU] / 01. Museos / 14. CU01CUX14 - MIJU; 14. CU01CUX14 - MIJU
Qué necesito | Información sumaria testimonial;Trámites [TR] / 04. Estáticos Varios / 02. TR04CUX02 - DNI / Información sumaria testimonial; Información sumaria testimonial
CU10CUX01 Museos;Cultura [CU] / 10. Casco Histórico / 01. CU10CUX01 - Casco Histórico; 01. CU10CUX01 - Casco Histórico
SE02CAT01 Operador no disponible;Derivaciones [DER] / Derivación / Deriva a agente de Ciberseguridad; Deriva a agente de Ciberseguridad
Chau;Boti [BOT] / 01. Perfil / 01. BOT01CUX01 - Personalidad; 01. BOT01CUX01 - Personalidad
SUA00CUX01 - Buscar solicitud por documento ;Solicitudes - Suaci [SUACI] / 02. Consulta de estado / 01. SUA02CUX01 - Estado de trámites y solicitudes; 01. SUA02CUX01 - Estado de trámites y solicitudes
Instancia 2 | No entendidos;0. Core del bot (No tocar) / No entendidos; No entendidos
DE04CUX01 Por deporte;Deportes [DE] / 4. Polideportivos / 01. DE04CUX01 Polideportivos; 01. DE04CUX01 Polideportivos
AGC02CUX03 Apertura;AGC [AGC] / 02. Otros trámites / 03. AGC03CUX03 - Carnet Manipulador de Alimentos; 03. AGC03CUX03 - Carnet Manipulador de Alimentos
EDU05CUX03 Apertura;Educación [EDU] / 05. Educación Superior / 03. EDU05CUX03 - Tecnicaturas; 03. EDU05CUX03 - Tecnicaturas
MO05CUX11 Pregunta amputación;Movilidad [MO] / 05. Licencias / 11. MO05CUX11 Ficha de salud; 11. MO05CUX11 Ficha de salud
MO03CUX01 Horarios;Movilidad [MO] / 03. Subte y Tren / 01. MO03CUX01 - Subte Estático; 01. MO03CUX01 - Subte Estático
TUR01CUX08 Error;Turnos [TUR] / 01. SIGECI / 08. TUR01CUX08 - Turno para pasaporte; 08. TUR01CUX08 - Turno para pasaporte
IN01CAT01 Pedir fotos DNI;Derivaciones [DER] / Derivación / Derivación a agente de Infracciones; Derivación a agente de Infracciones
VI03CUX01 Apertura;Vivienda [VI] / 03. Créditos Hipotecarios / 01. VI03CUX01 - Créditos Hipotecarios ; 01. VI03CUX01 - Créditos Hipotecarios 
X. Buscaba otra cosa;2. Onboardings y menús / Nuevo modelo IA OB; Nuevo modelo IA OB
SA07CUX01 Hepatitis B;Salud [SA] / 07. Salud sexual / 01. SA07CUX01 - Salud Sexual y Reproductiva; 01. SA07CUX01 - Salud Sexual y Reproductiva
TR03CUX03 Proescritores;Trámites [TR] / 03. Match directo / 03. TR03CUX03 - Cultura; 03. TR03CUX03 - Cultura
LIC00CUX01 Error tipo de documento;Movilidad [MO] / 05. Licencias / 06. MO05CUX06 LIC00CUX01 - Otorgamiento de Licencias Exp unificada; 06. MO05CUX06 LIC00CUX01 - Otorgamiento de Licencias Exp unificada
SUA01CUX21 Cargar dirección;Solicitudes - Suaci [SUACI] / 01. Espacio público / 21. SUA01CUX21 Reubicación de contenedores; 21. SUA01CUX21 Reubicación de contenedores
TR04CUX02 Cómo lo hago - Actualización menor;Trámites [TR] / 04. Estáticos Varios / 02. TR04CUX02 - DNI; 02. TR04CUX02 - DNI
TR03CUX26 Apertura | Cajas Habilitadas ;Trámites [TR] / 03. Match directo / 26. TR03CUX26 - Ministerio de Economía y Finanzas; 26. TR03CUX26 - Ministerio de Economía y Finanzas
CXF01CUX00 Preapertura;Customer Experience Feedback [CXF] / 01. Customer Experience Feedback (CXF) / 00. CXF01CUX00 - Feedback Boti Preapertura; 00. CXF01CUX00 - Feedback Boti Preapertura
AG01CUX01 Operador disponible;Derivaciones [DER] / Derivación / Derivación a agente de AGIP / Derivar a agente o fuera de horario AGIP; Derivar a agente o fuera de horario AGIP
DH01CAT01 Pedido motivo de consulta;Derivaciones [DER] / Derivación / Derivación a agente de Atención social; Derivación a agente de Atención social
TR02CUX10 Confirmar trámite;Trámites [TR] / 02. Integraciones STD / 10. TR02CUX10 - Solicitud de Certificado de Legalidad (EX TRA04CUX01); 10. TR02CUX10 - Solicitud de Certificado de Legalidad (EX TRA04CUX01)
EM02CUX01 Subintent busco trabajo;Empleo [EM] / 02. Empleo en la Ciudad / 01. EM02CUX01 - Búsqueda de trabajo en la Ciudad; 01. EM02CUX01 - Búsqueda de trabajo en la Ciudad
TR04CUX27 Apertura;Trámites [TR] / 04. Estáticos Varios / 27. TR04CUX27 - Divorcio; 27. TR04CUX27 - Divorcio
INN08CUX01 Darme de baja - Validación DEMO;Innovación [INN] / 08. Botificador / 01. INN08CUX01 - Demo subtopicos; 01. INN08CUX01 - Demo subtopicos
TR02CUX01 Apertura;Trámites [TR] / 02. Integraciones STD / 01. TR02CUX01 - Solicitud de Certificado de Deudor Alimentario | ; 01. TR02CUX01 - Solicitud de Certificado de Deudor Alimentario | 
SUACI_MostrarMasDatosDeReclamo;N/A;A
TR02CUX14 Elegir otra partida - apertura corta;Trámites [TR] / 02. Integraciones STD / 14. TR02CUX14 - Solicitud de Partidas; 14. TR02CUX14 - Solicitud de Partidas
TU01CUX01 Visitas accesibles ;Turismo [TU] / 01. Turismo BA / 01. TU01CUX01 - Turismo en BA; 01. TU01CUX01 - Turismo en BA
VI01CUX05 Apertura;Vivienda [VI] / 01. Instituto de la Vivienda (IVC) / 05. VI01CUX05 Programa Ley 624; 05. VI01CUX05 Programa Ley 624
