Name;Topic path;Topic
TUR01CUX09 Qué necesito;Turnos [TUR] / 01. SIGECI / 09. TUR01CUX09 Turno para cambio de domicilio; 09. TUR01CUX09 Turno para cambio de domicilio
Boletín Oficial;Trámites [TR] / 04. Estáticos Varios / 10. TR04CUX10 - Boletín oficial y Sindicatura General; 10. TR04CUX10 - Boletín oficial y Sindicatura General
TR05CUX03 No se encontró el documento;Trámites [TR] / 05. Estado de trámites / 3. TR05CUX03 Consulta de destado de Ciudadanía Porteña; 3. TR05CUX03 Consulta de destado de Ciudadanía Porteña
SA01CAT01 Flows;Derivaciones [DER] / Derivación / Derivación a agente de SIGEHOS; Derivación a agente de SIGEHOS
AG01CUX01 Exención ABL Vivienda;AGIP [AG] / 01. Sobre AGIP / 01. AG01CUX01 - AGIP; 01. AG01CUX01 - AGIP
TR04CUX32 Pasaporte exprés;Trámites [TR] / 04. Estáticos Varios / 32. TR04CUX32 - Pasaporte; 32. TR04CUX32 - Pasaporte
TRA04CUX01 Cómo es el trámite;Trámites [TR] / 02. Integraciones STD / 10. TR02CUX10 - Solicitud de Certificado de Legalidad (EX TRA04CUX01); 10. TR02CUX10 - Solicitud de Certificado de Legalidad (EX TRA04CUX01)
SE01CUX03 Cómo es el curso;Seguridad [SE] / 01. Servicios (Policia, bomberos...) / 03. SE01CUX03 - Agentes de prevención; 03. SE01CUX03 - Agentes de prevención
DH08CUX02 Responde bien V2M3;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
miBA01CAT03   Operador no disponible;Derivaciones [DER] / Derivación / Derivación a agente de Soporte de miBA; Derivación a agente de Soporte de miBA
TUR01CUX05 No hay turnos para ese día;Turnos [TUR] / 01. SIGECI / 05. TUR01CUX05 - Turno para renovación de licencia de conducir; 05. TUR01CUX05 - Turno para renovación de licencia de conducir
No entendidos Orquestador PI;Orquestador - PI;Orquestador - PI
BOT02CUX06 Sí, dale - Imagen 1 de 1;Boti [BOT] / 02. Cumpleaños / 06. BOT02CUX06 - Piedra Libre; 06. BOT02CUX06 - Piedra Libre
EDU05CUX05 Alemán;Educación [EDU] / 05. Educación Superior / 05. EDU05CUX05 - Traductorados; 05. EDU05CUX05 - Traductorados
TR03CUX27 Mediación comunitaria;Trámites [TR] / 03. Match directo / 27. TR03CUX27 - Ministerio de Justicia y Seguridad; 27. TR03CUX27 - Ministerio de Justicia y Seguridad
EDU04CUX30 Apertura ;Educación [EDU] / 04. Educación Escolar / 30. EDU04CUX30 - Uso del celular; 30. EDU04CUX30 - Uso del celular
TR03CUX16 DDJJ de administradores de consorcio;Trámites [TR] / 03. Match directo / 16. TR03CUX16 - Defensa del consumidor; 16. TR03CUX16 - Defensa del consumidor
TR03CUX08 Registro de empresas demoledoras y excavadoras;Trámites [TR] / 03. Match directo / 08. TR03CUX08 - AGC; 08. TR03CUX08 - AGC
DEC05CUX01 Trabajos a domicilio;Desarrollo Económico [DEC] / 05. Empresas / 01. DEC05CUX01 - Boti para empresas, SAP; 01. DEC05CUX01 - Boti para empresas, SAP
TU01CUX01 Guías;Turismo [TU] / 01. Turismo BA / 01. TU01CUX01 - Turismo en BA; 01. TU01CUX01 - Turismo en BA
CU01CUX14 Hasta 3 años;Cultura [CU] / 01. Museos / 14. CU01CUX14 - MIJU; 14. CU01CUX14 - MIJU
CU10CUX02 Diógenes y el Linyera > Mapa del recorrido;Cultura [CU] / 10. Casco Histórico / 02. CU10CUX02 - Paseo de la historieta; 02. CU10CUX02 - Paseo de la historieta
MO05CUX13 Validación - Trámite iniciado;Movilidad [MO] / 13. Reevaluación teórico-práctico de licencia; 13. Reevaluación teórico-práctico de licencia
MO05CUX10 Corregir domicilio del DNI;Movilidad [MO] / 05. Licencias / 10. MO05CUX10 Duplicado de licencia; 10. MO05CUX10 Duplicado de licencia
DEC05CUX01 Trámites inspecciones;Desarrollo Económico [DEC] / 05. Empresas / 01. DEC05CUX01 - Boti para empresas, SAP; 01. DEC05CUX01 - Boti para empresas, SAP
CU03CUX04 Grabaciones;Cultura [CU] / 03. Cultura y pase cultural / 04. CU03CUX04 - Estudio Urbano; 04. CU03CUX04 - Estudio Urbano
CIU02CUX01 Sede comunal 10;Ciudad [CIU] / 02. Comunas de la ciudad / 01. CIU02CUX01 - Comunas de la Ciudad; 01. CIU02CUX01 - Comunas de la Ciudad
DEC05CUX01 Distrito tecnológico;Desarrollo Económico [DEC] / 05. Empresas / 01. DEC05CUX01 - Boti para empresas, SAP; 01. DEC05CUX01 - Boti para empresas, SAP
AG01CUX01 Otros recursos: Descargos;AGIP [AG] / 01. Sobre AGIP / 01. AG01CUX01 - AGIP; 01. AG01CUX01 - AGIP
SA03CUX02 Corregir datos;Salud [SA] / 03. Vacunación general / 02. SA03CUX02 - Vacuna Antigripal ; 02. SA03CUX02 - Vacuna Antigripal 
NI01CUX09 Pista de skate;Niñez [NI] / 01. Boticuentos / 09. NI01CUX09 - El fantasma del Anfiteatro; 09. NI01CUX09 - El fantasma del Anfiteatro
SE01CUX01 Quiero inscribirme;Seguridad [SE] / 01. Servicios (Policia, bomberos...) / 01. SE01CUX01 - Convocatoria de bomberos; 01. SE01CUX01 - Convocatoria de bomberos
MO05CUX02 - Cambio jurisdicción;Movilidad [MO] / 05. Licencias / 02. MO05CUX02 - Licencias de conducir - 2023; 02. MO05CUX02 - Licencias de conducir - 2023
SUA01CUX15 Dirección;Solicitudes - Suaci [SUACI] / 01. Espacio público / 15. SUA01CUX15 - Desagote de pozo ciego; 15. SUA01CUX15 - Desagote de pozo ciego
BOT06CUX01 Trabalenguas 6;Boti [BOT] / 06. Diversión / 01. BOT06CUX01 - Divertite con Boti; 01. BOT06CUX01 - Divertite con Boti
Agentes humanos * Apertura beta;Derivaciones [DER] / Operador; Operador
SA03CUX01 Mayores de 65 años;Salud [SA] / 03. Vacunación general / 01. SA03CUX01 - Vacunación; 01. SA03CUX01 - Vacunación
MA01CUX01 Cómo sacar un turno;Mascotas [MA] / 01. Mascotas / 01. MA01CUX01 - Mascotas; 01. MA01CUX01 - Mascotas
BOT01CUX01 Insultos;Boti [BOT] / 01. Perfil / 01. BOT01CUX01 - Personalidad; 01. BOT01CUX01 - Personalidad
TUR01CUX08 Aviso de confirmación;Turnos [TUR] / 01. SIGECI / 08. TUR01CUX08 - Turno para pasaporte; 08. TUR01CUX08 - Turno para pasaporte
MO08CUX03 Tarifas;Movilidad [MO] / 08. Trámites varios / 03. MO08CUX03 - AUSA - Sacar TelePASE; 03. MO08CUX03 - AUSA - Sacar TelePASE
TR03CUX20 Permiso de uso precario en ferias artesanales;Trámites [TR] / 03. Match directo / 20. TR03CUX20 - Dirección general de ferias; 20. TR03CUX20 - Dirección general de ferias
SUA01CUX36 Tipo de semáforo ;Solicitudes - Suaci [SUACI] / 01. Espacio público / 36. SUA01CUX36 Reparación de semáforo; 36. SUA01CUX36 Reparación de semáforo
SUA01CUX03 Ver solicitudes existentes;Solicitudes - Suaci [SUACI] / 01. Espacio público / 03. SUA01CUX03 - Poda de Árboles; 03. SUA01CUX03 - Poda de Árboles
SUA01CUX21 Subir foto 3;Solicitudes - Suaci [SUACI] / 01. Espacio público / 21. SUA01CUX21 Reubicación de contenedores; 21. SUA01CUX21 Reubicación de contenedores
TU01CUX01 Buscar actividades;Turismo [TU] / 01. Turismo BA / 01. TU01CUX01 - Turismo en BA; 01. TU01CUX01 - Turismo en BA
No Encontró Ubicación | Sigeci Validacion Indentidad;Turnos [TUR] / 01. SIGECI / 02. TUR01CUX02 - Turno para Validación Presencial; 02. TUR01CUX02 - Turno para Validación Presencial
TR02CUX13 Qué necesito;Trámites [TR] / 02. Integraciones STD / 13. TR02CUX13 - Solicitud de Partida de defunción; 13. TR02CUX13 - Solicitud de Partida de defunción
TR01CUX21 Apertura corta;Trámites [TR] / 01. TAD / 21. TR01CUX21 |Apertura TAD; 21. TR01CUX21 |Apertura TAD
SUA01CUX11 Resolución Reforzada;Solicitudes - Suaci [SUACI] / 01. Espacio público / 11. SUA01CUX11 - Extracción de árbol; 11. SUA01CUX11 - Extracción de árbol
